var,rsrc,pos,cprobe,fcross_hz,pm_deg,tdb_10hz,rload
b_max,2.571k,1,1f,887620,65.8584,81.3936,100k
b_max,2.571k,1,47p,889441,65.6005,81.3936,100k
b_max,2.571k,1,100p,891399,65.3064,81.3936,100k
b_max,2.571k,1,220p,895510,64.6286,81.3936,100k
b_max,2.571k,1,470p,901888,63.2036,81.3936,100k
b_max,2.571k,1,1n,904479,60.4017,81.3936,100k
b_max,2.571k,1,1.5n,894942,58.387,81.3936,100k
b_max,2.571k,1,2.2n,871675,56.7143,81.3936,100k
b_max,2.571k,1,2.7n,853514,56.1386,81.3936,100k
b_max,2.571k,1,3.3n,833031,55.8771,81.3936,100k
b_max,2.571k,1,4.7n,794881,56.1667,81.3936,100k
b_max,2.611k,1,1f,887616,65.8519,81.3936,100k
b_max,2.611k,1,47p,889437,65.594,81.3936,100k
b_max,2.611k,1,100p,891395,65.2999,81.3936,100k
b_max,2.611k,1,220p,895506,64.6221,81.3936,100k
b_max,2.611k,1,470p,901884,63.1971,81.3936,100k
b_max,2.611k,1,1n,904474,60.3951,81.3936,100k
b_max,2.611k,1,1.5n,894938,58.3805,81.3936,100k
b_max,2.611k,1,2.2n,871671,56.7079,81.3936,100k
b_max,2.611k,1,2.7n,853511,56.1324,81.3936,100k
b_max,2.611k,1,3.3n,833028,55.871,81.3936,100k
b_max,2.611k,1,4.7n,794879,56.1609,81.3936,100k
b_max,1m,1,1f,886608,66.2678,81.2049,10k
b_max,1m,1,47p,888405,66.0135,81.2049,10k
b_max,1m,1,100p,890334,65.7236,81.2049,10k
b_max,1m,1,220p,894368,65.056,81.2049,10k
b_max,1m,1,470p,900676,63.6503,81.2049,10k
b_max,1m,1,1n,903312,60.8791,81.2049,10k
b_max,1m,1,1.5n,893995,58.8744,81.205,10k
b_max,1m,1,2.2n,871100,57.1919,81.205,10k
b_max,1m,1,2.7n,853150,56.6026,81.2051,10k
b_max,1m,1,3.3n,832846,56.3237,81.2051,10k
b_max,1m,1,4.7n,794912,56.5792,81.2052,10k
b_max,1k,1,1f,886576,66.1028,81.2049,10k
b_max,1k,1,47p,888372,65.8482,81.2049,10k
b_max,1k,1,100p,890301,65.558,81.2049,10k
b_max,1k,1,220p,894334,64.8897,81.2049,10k
b_max,1k,1,470p,900641,63.4829,81.2049,10k
b_max,1k,1,1n,903277,60.7113,81.2049,10k
b_max,1k,1,1.5n,893961,58.7084,81.205,10k
b_max,1k,1,2.2n,871070,57.0301,81.205,10k
b_max,1k,1,2.7n,853123,56.444,81.2051,10k
b_max,1k,1,3.3n,832822,56.1688,81.2051,10k
b_max,1k,1,4.7n,794891,56.4312,81.2052,10k
b_max,2.5k,1,1f,886463,65.8576,81.2049,10k
b_max,2.5k,1,47p,888259,65.6025,81.2049,10k
b_max,2.5k,1,100p,890186,65.3119,81.2049,10k
b_max,2.5k,1,220p,894214,64.6427,81.2049,10k
b_max,2.5k,1,470p,900518,63.2344,81.2049,10k
b_max,2.5k,1,1n,903154,60.4625,81.2049,10k
b_max,2.5k,1,1.5n,893844,58.4623,81.205,10k
b_max,2.5k,1,2.2n,870968,56.7901,81.205,10k
b_max,2.5k,1,2.7n,853030,56.2087,81.2051,10k
b_max,2.5k,1,3.3n,832737,55.9389,81.2051,10k
b_max,2.5k,1,4.7n,794819,56.2113,81.2052,10k
b_max,2.571k,1,1f,886455,65.8461,81.2049,10k
b_max,2.571k,1,47p,888251,65.591,81.2049,10k
b_max,2.571k,1,100p,890179,65.3003,81.2049,10k
b_max,2.571k,1,220p,894206,64.6311,81.2049,10k
b_max,2.571k,1,470p,900510,63.2228,81.2049,10k
b_max,2.571k,1,1n,903146,60.4509,81.2049,10k
b_max,2.571k,1,1.5n,893837,58.4508,81.205,10k
b_max,2.571k,1,2.2n,870961,56.7789,81.205,10k
b_max,2.571k,1,2.7n,853024,56.1977,81.2051,10k
b_max,2.571k,1,3.3n,832732,55.928,81.2051,10k
b_max,2.571k,1,4.7n,794814,56.2009,81.2052,10k
b_max,2.611k,1,1f,886451,65.8396,81.2049,10k
b_max,2.611k,1,47p,888247,65.5845,81.2049,10k
b_max,2.611k,1,100p,890174,65.2938,81.2049,10k
b_max,2.611k,1,220p,894202,64.6245,81.2049,10k
b_max,2.611k,1,470p,900505,63.2162,81.2049,10k
b_max,2.611k,1,1n,903141,60.4443,81.2049,10k
b_max,2.611k,1,1.5n,893833,58.4443,81.205,10k
b_max,2.611k,1,2.2n,870957,56.7725,81.205,10k
b_max,2.611k,1,2.7n,853020,56.1914,81.2051,10k
b_max,2.611k,1,3.3n,832728,55.922,81.2051,10k
b_max,2.611k,1,4.7n,794812,56.1951,81.2052,10k
xa,1m,1,1f,929810,65.3273,81.7745,100k
xa,1m,1,47p,931918,65.0513,81.7745,100k
xa,1m,1,100p,934206,64.7358,81.7745,100k
xa,1m,1,220p,938966,64.0086,81.7745,100k
xa,1m,1,470p,946309,62.4784,81.7745,100k
xa,1m,1,1n,948914,59.4979,81.7745,100k
xa,1m,1,1.5n,937472,57.4213,81.7745,100k
xa,1m,1,2.2n,910854,55.7901,81.7745,100k
