col0,col1,col2,col3,col4,col5,col6,col7
0.00024328,0.499554371,0.00024328,1.52436658,0.00024328,1.57093465,0.00024328,2.41734159
0.00024428,0.499677117,0.00024428,1.52484494,0.00024428,1.57140783,0.00024428,2.41782303
0.00024528,0.499780137,0.00024528,1.52526121,0.00024528,1.57181895,0.00024528,2.41824193
0.00024628,0.499863427,0.00024628,1.52561535,0.00024628,1.57216798,0.00024628,2.41859827
0.00024728,0.499926982,0.00024728,1.52590735,0.00024728,1.57245492,0.00024728,2.41889203
0.00024828,0.499970802,0.00024828,1.52613719,0.00024828,1.57267975,0.00024828,2.41912322
0.00024928,0.499994884,0.00024928,1.52630489,0.00024928,1.57284246,0.00024928,2.41929181
0.00025028,0.499999226,0.00025028,1.52641041,0.00025028,1.57294305,0.00025028,2.4193978
0.00025128,0.49998383,0.00025128,1.52645377,0.00025128,1.57298151,0.00025128,2.41944119
0.00025228,0.499948695,0.00025228,1.52643495,0.00025228,1.57295784,0.00025228,2.41942197
0.00025328,0.499893823,0.00025328,1.52635396,0.00025328,1.57287205,0.00025328,2.41934015
0.00025428,0.499819216,0.00025428,1.52621081,0.00025428,1.57272413,0.00025428,2.41919573
0.00025528,0.499724876,0.00025528,1.52600549,0.00025528,1.57251409,0.00025528,2.41898871
0.00025628,0.499610809,0.00025628,1.52573802,0.00025628,1.57224194,0.00025628,2.4187191
0.00025728,0.499477018,0.00025728,1.52540841,0.00025728,1.57190769,0.00025728,2.41838692
0.00025828,0.499323508,0.00025828,1.52501667,0.00025828,1.57151135,0.00025828,2.41799217
0.00025928,0.499150286,0.00025928,1.52456281,0.00025928,1.57105294,0.00025928,2.41753488
0.00026028,0.498957359,0.00026028,1.52404685,0.00026028,1.57053248,0.00026028,2.41701506
0.00026128,0.498744733,0.00026128,1.52346882,0.00026128,1.56994999,0.00026128,2.41643272
0.00026228,0.498512418,0.00026228,1.52282873,0.00026228,1.56930549,0.00026228,2.4157879
0.00026328,0.498260422,0.00026328,1.52212662,0.00026328,1.568599,0.00026328,2.41508062
0.00026428,0.497988756,0.00026428,1.52136251,0.00026428,1.56783056,0.00026428,2.41431091
0.00026528,0.49769743,0.00026528,1.52053642,0.00026528,1.56700019,0.00026528,2.41347879
0.00026628,0.497386456,0.00026628,1.5196484,0.00026628,1.56610793,0.00026628,2.4125843
0.00026728,0.497055846,0.00026728,1.51869847,0.00026728,1.56515381,0.00026728,2.41162748
0.00026828,0.496705613,0.00026828,1.51768668,0.00026828,1.56413787,0.00026828,2.41060836
0.00026928,0.496335771,0.00026928,1.51661306,0.00026928,1.56306015,0.00026928,2.40952698
0.00027028,0.495946334,0.00027028,1.51547766,0.00027028,1.56192069,0.00027028,2.40838339
0.00027128,0.495537318,0.00027128,1.51428053,0.00027128,1.56071955,0.00027128,2.40717764
